"exportateur","importateur","bloc_exp","bloc_imp","meme_bloc","year.x","id","year.y","importerId","importerType","exporterId","exporterType","value","reportedBy","partial","valueToSplit","newReporters","newPartners","originalReportedTradeFlowIds","status","notes"
"Afghanistan","Albania",1,1,1,2013,NA,NA,"339",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Algeria (Regency of Algiers)",1,1,1,2013,NA,NA,"615",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","American Samoa",1,2,0,2013,NA,NA,"991",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Angola",1,1,1,2013,NA,NA,"540",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Anguilla",1,1,1,2013,NA,NA,"1062",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Antigua and Barbuda (Antigua)",1,1,1,2013,NA,NA,"58",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Argentina (La Plata)",1,1,1,2013,NA,NA,"160",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Armenia",1,1,1,2013,NA,NA,"371",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Aruba",1,1,1,2013,NA,NA,"1069",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Australia",1,2,0,2013,NA,NA,"900",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Austria",1,1,1,2013,NA,NA,"305",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Azerbaijan",1,1,1,2013,NA,NA,"373",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Bahamas",1,1,1,2013,NA,NA,"31",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Bahrain",1,1,1,2013,NA,NA,"692",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Bangladesh",1,1,1,2013,NA,NA,"771",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Barbados",1,1,1,2013,NA,NA,"53",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Belarus (Byelorussia)",1,1,1,2013,NA,NA,"370",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Belgium",1,1,1,2013,NA,NA,"211",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Belize (British Honduras)",1,1,1,2013,NA,NA,"80",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Benin (Dahomey)",1,1,1,2013,NA,NA,"434",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Bermuda",1,1,1,2013,NA,NA,"30",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Bhutan",1,1,1,2013,NA,NA,"760",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Bolivia",1,1,1,2013,NA,NA,"145",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Bosnia-Herzegovina",1,1,1,2013,NA,NA,"346",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Botswana (Bechuanaland)",1,1,1,2013,NA,NA,"571",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Brazil",1,1,1,2013,NA,NA,"140",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Brunei",1,1,1,2013,NA,NA,"835",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Bulgaria",1,1,1,2013,NA,NA,"355",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Burkina Faso (Upper Volta)",1,1,1,2013,NA,NA,"439",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Burundi",1,1,1,2013,NA,NA,"516",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Cambodia (Kampuchea)",1,3,0,2013,NA,NA,"811",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Cameroun (French Cameroon)",1,1,1,2013,NA,NA,"471",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Canada (Province of Canada)",1,1,1,2013,NA,NA,"20",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Cape Verde",1,1,1,2013,NA,NA,"402",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Central African Republic (Ubangi Shari)",1,1,1,2013,NA,NA,"482",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Chad",1,1,1,2013,NA,NA,"483",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Chile",1,1,1,2013,NA,NA,"155",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Colombia (New Granada) (Gran Colombia)",1,1,1,2013,NA,NA,"100",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Comoros",1,1,1,2013,NA,NA,"581",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Afghanistan","Congo (Brazzaville) (French Congo) (Middle Congo)",1,1,1,2013,NA,NA,"484",NA,"700",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
