year,id,importerLabel,exporterLabel,importerReporting,exporterReporting,CafFob,newimporterId,newimporterLabel,newexporterId,newexporterLabel,valueToSplit,pred_trade
1924,100->British West Indies,British West Indies,Colombia (New Granada) (Gran Colombia),,1,FromExporter,52,Trinidad and Tobago,100,Colombia (New Granada) (Gran Colombia),18047.307,379.49423
1924,100->British West Indies,British West Indies,Colombia (New Granada) (Gran Colombia),,1,FromExporter,1055,Windward Is.,100,Colombia (New Granada) (Gran Colombia),18047.307,1084.4614
1924,100->British West Indies,British West Indies,Colombia (New Granada) (Gran Colombia),,1,FromExporter,31,Bahamas,100,Colombia (New Granada) (Gran Colombia),18047.307,1099.0267
1924,100->British West Indies,British West Indies,Colombia (New Granada) (Gran Colombia),,1,FromExporter,1063,Leeward Is.,100,Colombia (New Granada) (Gran Colombia),18047.307,2616.7788
1924,100->British West Indies,British West Indies,Colombia (New Granada) (Gran Colombia),,1,FromExporter,51,Jamaica,100,Colombia (New Granada) (Gran Colombia),18047.307,2849.8022
1924,100->British West Indies,British West Indies,Colombia (New Granada) (Gran Colombia),,1,FromExporter,30,Bermuda,100,Colombia (New Granada) (Gran Colombia),18047.307,4233.0776
1924,100->British West Indies,British West Indies,Colombia (New Granada) (Gran Colombia),,1,FromExporter,53,Barbados,100,Colombia (New Granada) (Gran Colombia),18047.307,5784.666
1924,100->French West Indies,French West Indies,Colombia (New Granada) (Gran Colombia),,1,FromExporter,66,Martinique,100,Colombia (New Granada) (Gran Colombia),108.64645,21.680552
1924,100->French West Indies,French West Indies,Colombia (New Granada) (Gran Colombia),,1,FromExporter,65,Guadeloupe,100,Colombia (New Granada) (Gran Colombia),108.64645,86.965897
1924,110->British West Indies,British West Indies,Guyana (British Guiana),,1,FromExporter,52,Trinidad and Tobago,110,Guyana (British Guiana),96836.039,2890.1404
1924,110->British West Indies,British West Indies,Guyana (British Guiana),,1,FromExporter,1055,Windward Is.,110,Guyana (British Guiana),96836.039,8259.0068
1924,110->British West Indies,British West Indies,Guyana (British Guiana),,1,FromExporter,1063,Leeward Is.,110,Guyana (British Guiana),96836.039,19928.781
1924,110->British West Indies,British West Indies,Guyana (British Guiana),,1,FromExporter,51,Jamaica,110,Guyana (British Guiana),96836.039,21703.436
1924,110->British West Indies,British West Indies,Guyana (British Guiana),,1,FromExporter,53,Barbados,110,Guyana (British Guiana),96836.039,44054.676
1924,110->French West Indies,French West Indies,Guyana (British Guiana),,1,FromExporter,66,Martinique,110,Guyana (British Guiana),1267.7084,252.97299
1924,110->French West Indies,French West Indies,Guyana (British Guiana),,1,FromExporter,65,Guadeloupe,110,Guyana (British Guiana),1267.7084,1014.7354
1924,110->Portuguese Colonies,Portuguese Colonies,Guyana (British Guiana),,1,FromExporter,860,East Timor (Portuguese Timor),110,Guyana (British Guiana),1339.1666,.67962998
1924,110->Portuguese Colonies,Portuguese Colonies,Guyana (British Guiana),,1,FromExporter,721,Macao,110,Guyana (British Guiana),1339.1666,.79110718
1924,110->Portuguese Colonies,Portuguese Colonies,Guyana (British Guiana),,1,FromExporter,404,Guinea-Bissau (Portuguese Guinea),110,Guyana (British Guiana),1339.1666,3.4111068
1924,110->Portuguese Colonies,Portuguese Colonies,Guyana (British Guiana),,1,FromExporter,402,Cape Verde,110,Guyana (British Guiana),1339.1666,57.965828
1924,110->Portuguese Colonies,Portuguese Colonies,Guyana (British Guiana),,1,FromExporter,752,Portuguese India,110,Guyana (British Guiana),1339.1666,117.90048
1924,110->Portuguese Colonies,Portuguese Colonies,Guyana (British Guiana),,1,FromExporter,541,Mozambique (Portuguese East Africa),110,Guyana (British Guiana),1339.1666,293.59967
1924,110->Portuguese Colonies,Portuguese Colonies,Guyana (British Guiana),,1,FromExporter,403,Sao Tome-Principe,110,Guyana (British Guiana),1339.1666,349.99109
1924,110->Portuguese Colonies,Portuguese Colonies,Guyana (British Guiana),,1,FromExporter,540,Angola,110,Guyana (British Guiana),1339.1666,514.82776
1924,120->Dutch Colonies (other),Dutch Colonies (other),French Guiana,,1,FromExporter,115,Surinam (Dutch Guiana),120,French Guiana,24818.492,506.04764
1924,120->Dutch Colonies (other),Dutch Colonies (other),French Guiana,,1,FromExporter,68,Netherlands Antilles,120,French Guiana,24818.492,630.45844
1924,120->Dutch Colonies (other),Dutch Colonies (other),French Guiana,,1,FromExporter,850,Indonesia (Dutch East Indies),120,French Guiana,24818.492,23681.986
1924,160->British Oceania,British Oceania,Argentina (La Plata),,1,FromExporter,9620,Pitcairn Is.,160,Argentina (La Plata),113818.91,10834.333
1924,160->British Oceania,British Oceania,Argentina (La Plata),,1,FromExporter,945,Gilbert and Ellice Is.,160,Argentina (La Plata),113818.91,23034.49
1924,160->British Oceania,British Oceania,Argentina (La Plata),,1,FromExporter,935,Vanuatu (New Hebrides),160,Argentina (La Plata),113818.91,28096.682
1924,160->British Oceania,British Oceania,Argentina (La Plata),,1,FromExporter,950,Fiji,160,Argentina (La Plata),113818.91,51853.406
1924,160->Portuguese Colonies (other),Portuguese Colonies (other),Argentina (La Plata),,1,FromExporter,860,East Timor (Portuguese Timor),160,Argentina (La Plata),43192268,21920.168
1924,160->Portuguese Colonies (other),Portuguese Colonies (other),Argentina (La Plata),,1,FromExporter,721,Macao,160,Argentina (La Plata),43192268,25515.654
1924,160->Portuguese Colonies (other),Portuguese Colonies (other),Argentina (La Plata),,1,FromExporter,404,Guinea-Bissau (Portuguese Guinea),160,Argentina (La Plata),43192268,110018.75
1924,160->Portuguese Colonies (other),Portuguese Colonies (other),Argentina (La Plata),,1,FromExporter,402,Cape Verde,160,Argentina (La Plata),43192268,1869577.4
1924,160->Portuguese Colonies (other),Portuguese Colonies (other),Argentina (La Plata),,1,FromExporter,752,Portuguese India,160,Argentina (La Plata),43192268,3802655.3
1924,160->Portuguese Colonies (other),Portuguese Colonies (other),Argentina (La Plata),,1,FromExporter,541,Mozambique (Portuguese East Africa),160,Argentina (La Plata),43192268,9469498
1924,160->Portuguese Colonies (other),Portuguese Colonies (other),Argentina (La Plata),,1,FromExporter,403,Sao Tome-Principe,160,Argentina (La Plata),43192268,11288296
1924,160->Portuguese Colonies (other),Portuguese Colonies (other),Argentina (La Plata),,1,FromExporter,540,Angola,160,Argentina (La Plata),43192268,16604787
1924,2->Algeria (Regency of Algiers) & Tunisia (Regency of Tunis),Algeria (Regency of Algiers) & Tunisia (Regency of Tunis),United States of America,,1,FromExporter,616,Tunisia (Regency of Tunis),2,United States of America,1249886.9,382423.16
1924,2->Algeria (Regency of Algiers) & Tunisia (Regency of Tunis),Algeria (Regency of Algiers) & Tunisia (Regency of Tunis),United States of America,,1,FromExporter,615,Algeria (Regency of Algiers),2,United States of America,1249886.9,867463.69
