key,target,source,meme_intramax,meme_louvain,meme_AN,year,distance_km,conttype,contig_terre,contig_24mi,contig_large,mid_n,mid_hihost,mid_guerre,mid_duration,atop_allie,atop_defense,atop_offense,atop_neutral,atop_nonagg,atop_consul,atop_asymm
"10-100","Colombia (New Granada) (Gran Colombia)","Greenland",0,"0","0",1879,"7913.31875613869","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-101","Greenland","Venezuela",0,"0","0",1879,"7359.07986940942","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-1029","Greenland","St. Pierre and Miquelon",0,"0","1",1879,"2924.5759947963","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-1032","Greenland","Turks and Caicos Is.",0,"0","0",1879,"5940.15274900146","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-1048","Greenland","Trinidad",0,"0","0",1879,"6999.48897575822","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-1055","Greenland","Windward Is.",0,"0","0",1879,"6690.82269568208","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-1063","Greenland","Leeward Is.",0,"0","0",1879,"6276.49215190111","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-11","Faeroe Is.","Greenland",1,"1","0",1879,"1785.46158731762","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-110","Greenland","Guyana (British Guiana)",0,"0","0",1879,"7496.88098766382","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-115","Greenland","Surinam (Dutch Guiana)",0,"0","0",1879,"7651.66199829931","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-1163","Falkland Is.","Greenland",0,"0","0",1879,"13855.7311892892","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-120","French Guiana","Greenland",0,"0","0",1879,"7623.98267591227","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-130","Ecuador","Greenland",0,"0","0",1879,"8559.01440327601","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-135","Greenland","Peru",0,"0","0",1879,"9435.54890237129","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-140","Brazil","Greenland",0,"0","0",1879,"9622.5980236522","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-145","Bolivia","Greenland",0,"0","0",1879,"10090.1900782043","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-150","Greenland","Paraguay",0,"0","0",1879,"10719.9475816745","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-155","Chile","Greenland",0,"0","0",1879,"11934.3041281598","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-160","Argentina (La Plata)","Greenland",0,"0","0",1879,"11947.3270738972","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-165","Greenland","Uruguay",0,"0","0",1879,"11754.9328101237","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-2","Greenland","United States of America",0,"0","1",1879,"4772.67368497192","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-20","Canada (Province of Canada)","Greenland",0,"0","1",1879,"3533.96495285992","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-200","Greenland","United Kingdom",0,"0","0",1879,"2628.25677827517","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-2003","Channel Is.","Greenland",0,"0","0",1879,"3135.75674161104","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-21","Greenland","Newfoundland and Labrador (Newfoundland)",0,"0","1",1879,"2324.81253030713","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-210","Greenland","Netherlands",0,"0","0",1879,"3089.59907632314","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-211","Belgium","Greenland",0,"0","0",1879,"3226.95524492761","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-212","Greenland","Luxemburg",0,"0","0",1879,"3360.18279971285","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-220","France","Greenland",0,"0","0",1879,"3512.22841699335","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-2249","Greenland","Heligoland",0,"0","0",1879,"2984.98719783996","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"10-225","Greenland","Switzerland",0,"0","0",1879,"3725.73453730521","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-230","Greenland","Spain",0,"0","0",1879,"4065.93820849844","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-231","Gibraltar","Greenland",0,"0","0",1879,"4451.33725975107","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-235","Greenland","Portugal",0,"0","0",1879,"4085.62089908142","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-255","Germany (Zollverein)","Greenland",0,"1","0",1879,"3363.89858409664","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-30","Bermuda","Greenland",0,"0","0",1879,"4651.45281429868","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-300","Austria-Hungary (Austrian Empire)","Greenland",0,"0","0",1879,"3851.58176916994","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-31","Bahamas","Greenland",0,"0","0",1879,"5717.40054237333","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-325","Greenland","Italy",0,"0","0",1879,"4300.0100731426","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-338","Greenland","Malta",0,"0","0",1879,"5047.75439270593","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-341","Greenland","Montenegro",0,"0","0",1879,"4493.89579810178","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-342","Greenland","Kingdom of Serbia",0,"0","0",1879,"4329.21686372246","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"10-346","Bosnia-Herzegovina","Greenland",0,"0","0",1879,"4328.18431230589","NA","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
